Height,Input,Output,Sum,Time
66315,['1FMN1trDdPpP7G5Vp9nrRy4ciG9BS9wGfg'],"['1MY1U2U4iThKKmJ7BzPJXs7V8fhQVzLZEd', '5', '1Pa3tBpvdAbggVgUqV4Bf7fRMhprZ4YaGB', '330']",['335'],2010-07-13 03:05:59
66323,['1HyJzQh5i8vJ91kaLnbemTWzRPMnJpnFC3'],"['1HCvjbEUG8rLdUeXZPoKVxHfKwbU7aRi5A', '320', '16RJhLEjd7YyYytVoABB9kgGQr5DAEyWaw', '5']",['325'],2010-07-13 03:20:11
66323,['14PdFPcJGg1FumG3dc6ezK9ymqQftUn6XE'],"['1GS1FpWE8Fa2tn8P7FjXrXBTbtnwd8Uw9U', '15', '1QDUTSXDgq6zqxFN8YKq1AAnE7LXjAa7a3', '35']",['50'],2010-07-13 03:20:11
66323,['1HCvjbEUG8rLdUeXZPoKVxHfKwbU7aRi5A'],"['18C8qafKMHPmfFPZbsPkxozG8FmgQHwLfe', '5', '1E3g5PCHDEbiNFhXYLYTxEskPWtuMxSYNU', '315']",['320'],2010-07-13 03:20:11
66323,['1GS1FpWE8Fa2tn8P7FjXrXBTbtnwd8Uw9U'],"['1JJxTGBG3TscChTP3pdY2iMs3fpgCTuidw', '10', '143axGH2Wm1nxe3LUg1xa1sFmHUgxT61Cu', '5']",['15'],2010-07-13 03:20:11
66323,['1E3g5PCHDEbiNFhXYLYTxEskPWtuMxSYNU'],"['1MArqhZBKVdqFfm7oYhUzGpfvfQagsB1dR', '5', '1y2VHDwwFbok81uHD7UHA3TZieoQ6VYET', '310']",['315'],2010-07-13 03:20:11
66324,['1Ms4jVa3UxFZE2aeAP46QfsjGDqUQXn7uG'],"['1PH7d1mSDBP12oc84JQLioYXeTt5wD4kJV', '5']",['5'],2010-07-13 03:23:13
66324,['1AUhxXZmTmCQq4h3QzWjTiqSGgaPUyenvP'],"['1K5aUZpyWx2QggiiuppcuBMYUSkCaW4m5U', '50']",['50'],2010-07-13 03:23:13
66325,['143axGH2Wm1nxe3LUg1xa1sFmHUgxT61Cu'],"['1LtCvJMyjoUnMUGaVbxhrjeHmGrJEF8RFs', '5']",['5'],2010-07-13 03:24:45
66325,['1y2VHDwwFbok81uHD7UHA3TZieoQ6VYET'],"['16MRWxUZXSE2G1cdJp4MRNPqFEJCCmVXv1', '5', '1LsAoBBEr41vxVbDbpsTB4QTenYoXMiCmA', '305']",['310'],2010-07-13 03:24:45
66326,['1LsAoBBEr41vxVbDbpsTB4QTenYoXMiCmA'],"['16pgVGDqPARUYA42ESAeCFVKVyVx8JwNEA', '300', '1FRwaXfGTEet2Dak8hCn53cdFsFGfEhMHn', '5']",['305'],2010-07-13 03:24:52
66326,['16pgVGDqPARUYA42ESAeCFVKVyVx8JwNEA'],"['1KUqJLq8g5HQAQLbX8NrUFVQgF5gqzFRGK', '5', '17cmfZ6Exd4MY2DGuDRedhwHrWXVfnCzz8', '295']",['300'],2010-07-13 03:24:52
66338,['1EcfPsipkBm3Jn4Ybk9VHmwc3CzCHxrkmw'],"['1FeFgJRvCYUTCBj1u696eL23xpAdNB4B8p', '50']",['50'],2010-07-13 03:33:59
66338,['13G8U8o79efBisqfVhny9aGzS1Fm4JqyUq'],"['1P8HZmwiTMX3LbH8FnVU4fnJmLFJpdvYfq', '3.14']",['3.14'],2010-07-13 03:33:59
66342,['181nGFh8wrRVZzkc9cUtGKNpLhDsH8MQXx'],"['1J1m9DXApzrcki3AiUoaKxDMfZY3cwveH', '49']",['49'],2010-07-13 03:39:59
66342,['1DnRg5XBVgHLWq2Z27qf1Zz1YkpJQC6ocS'],"['1GW2db5s89JwW4cdJT2XzVgB4i1TdQhkze', '275', '15oRMK6inXJEZaneV5rMa5RPkQpYbAkfTo', '5']",['280'],2010-07-13 03:39:59
66347,['1PFhs9DZxjQJoF5rhREtMswnG1PaVCJTXB'],"['1FnEBt7TL2H6oGA9g1meaj22TUwfyMf5wg', '265', '1NMzT2ke7oBmFu5KKr1JALzbVmUsonYUDw', '5']",['270'],2010-07-13 03:48:15
66347,['1LeWSciaC3PCPz96FpsCWtUybKL5MDb3uX'],"['1HDMmsQFpdyytiCQQNngxByakAfeLnab1N', '50']",['50'],2010-07-13 03:48:15
66353,['1Pe4XRH76oFHFtguF4z5XABckstF9cfaQv'],"['154M5DHmpdGGfdM97G4nvXNToNpyU1zNmt', '1', '1N6hN4T5sXJaViytm1SuDA5Pn9aWikgcRn', '1']",['2'],2010-07-13 03:57:47
66353,['1FnEBt7TL2H6oGA9g1meaj22TUwfyMf5wg'],"['14FRQCnMNXM7n4XnHdxsMUGY3Q8rZtCmph', '5', '13KxjiYu12yZZTudeg7xknwSeDgKxUe7Ry', '260']",['265'],2010-07-13 03:57:47
66355,"['1ByJszG3Sqxymws4LVWUVqLCg5Q5geW4dU', '1N4RXtbNTHDBXuA8miVZjzhFq3o3q6GfRa', '1EZq4D1ZUop4M6ojLUBpmDovcu6sRVZwfz']","['17AkKi6k9EF6DsoHf4VbKag7rD7F1eaxyF', '150']",['150'],2010-07-13 03:56:38
66355,['1N6hN4T5sXJaViytm1SuDA5Pn9aWikgcRn'],"['154M5DHmpdGGfdM97G4nvXNToNpyU1zNmt', '1']",['1'],2010-07-13 03:56:38
66356,['13KxjiYu12yZZTudeg7xknwSeDgKxUe7Ry'],"['16SZZ8LpedZK8U3MuRDnQtAvimP5CeGG5L', '255', '171gmE2NJwru36HUpLK42EeWNQVu2kWky7', '5']",['260'],2010-07-13 04:03:54
66356,['1B2Ad6qp8tw29BDy5Td4PUT7uKk4RWufGt'],"['149iLTM499LvvktTSbub77dJYvZ7YVGtXo', '50']",['50'],2010-07-13 04:03:54
66356,['154M5DHmpdGGfdM97G4nvXNToNpyU1zNmt'],"['127EiDfnvZW9CZKv4RVv6WyxB166dA7yBq', '10']",['10'],2010-07-13 04:03:54
66358,['1C1EjX2wksd7NyUWcj4oh4Rvc32N5KKbuN'],"['1MKcPGUZN7HD9WTU1uwJj6hKtDejEXYH76', '50']",['50'],2010-07-13 04:08:46
66358,['17RJrtXNiqCKTmUJpAVVE18Eonp12PDHWh'],"['1ExJb2v6oV7vpB3p5ijC6EY18j8b4U7Kjt', '5', '1Cuv7vAXDPzrsJ2ydyUJPL8TyjiCPedfm2', '245']",['250'],2010-07-13 04:08:46
66362,['1GqoFRYfx8V5RfpmwWj7poZPyn3pTp17x6'],"['1AoPhGF1GohkpZ141FiQ58bWwhqMLC7R3c', '1']",['1'],2010-07-13 04:10:51
66362,['1Cuv7vAXDPzrsJ2ydyUJPL8TyjiCPedfm2'],"['1BDaFPQDL3ALoNFfMA5FNa7mPokWzNFHRN', '5', '1CQRPHVduZTSnm7g5TpsQJ4rbbnVcndQvw', '240']",['245'],2010-07-13 04:10:51
66362,['1ExJb2v6oV7vpB3p5ijC6EY18j8b4U7Kjt'],"['19vF146wdmogAVSVdstGwLfXTeX5RkvYGQ', '5']",['5'],2010-07-13 04:10:51
66368,['1CQRPHVduZTSnm7g5TpsQJ4rbbnVcndQvw'],"['1EcYt5UACiXPm49qEeosvWD1nxQr8wosTG', '235', '19jHjWHFcthS241ULqZ7MddkGCeyMyd64x', '5']",['240'],2010-07-13 04:20:51
66368,['1CSMuxamaGbkHauGSy3T1bCYbjFmXyWBQT'],"['1KuxTaf5Cav6geAWcahWMphHKHGKY45NgW', '9']",['9'],2010-07-13 04:20:51
66372,['1pv49ugF1JviBtWNV4mACwrXyQa2k4a7E'],"['18V5eHAJqoHCXdN8JJuM9tP64WpsYYHA9t', '50']",['50'],2010-07-13 04:27:46
66372,['1EcYt5UACiXPm49qEeosvWD1nxQr8wosTG'],"['1AAF2ggJAzruMrMWKTGcMvfR6ZpttuMrE3', '230', '1DH3uBNDxxswj5dvmNZgVSXHbGV1RxjrVR', '5']",['235'],2010-07-13 04:27:46
66372,['18E14eJgHWSEh4xtke8qGKScbPrDTFz47s'],"['1Cmezbwv1iceTNtcGg9SPwifKq15RnuZUq', '5']",['5'],2010-07-13 04:27:46
66374,['1XhnqafXTspdTsnJKoq9L7a4xHBBSbfZ3'],"['1GPcTbMieoR2ybXSdw9SnWXo5cv7egEpdk', '0.02', '1J2Myex3jgFT2NKZ3XP8kGpHLhPQbqrFjX', '0.01']",['0.03'],2010-07-13 04:31:07
66374,['1AAF2ggJAzruMrMWKTGcMvfR6ZpttuMrE3'],"['1MxUuT7p5Bgd7GWpydegwcD82xVBVLNJKa', '225', '1F1fY3CqgSmKWxveiPKHqtcW7eocmKXM8A', '5']",['230'],2010-07-13 04:31:07
66381,['1KPizbaZPdoNbVgSdLif9DyL8M3oS6617'],"['16dPp5dtC16vDwwLRWcYN8cnPV2dDkKsLm', '0.99', '1Gvkh4mpkv8S2w5vAhH4xuJp1ybcGD44jn', '48']",['48.99'],2010-07-13 04:41:18
66381,['1Gvkh4mpkv8S2w5vAhH4xuJp1ybcGD44jn'],"['16dPp5dtC16vDwwLRWcYN8cnPV2dDkKsLm', '48']",['48'],2010-07-13 04:41:18
66381,['1MxUuT7p5Bgd7GWpydegwcD82xVBVLNJKa'],"['1GM6XdXaYTM4kfBndK7UMG4gyg1JWyEsmg', '5', '19376GK1frhmJwSR8Hy9Z33u6zHDa8Vd18', '220']",['225'],2010-07-13 04:41:18
66381,"['1Lgjr47YAPKutkmkj225MFgUp3iFHWr6B3', '1P8HZmwiTMX3LbH8FnVU4fnJmLFJpdvYfq']","['1CVnNrwU1TY1u1mnxQc7b6vJubR2phYXxy', '2.14', '1MgEDQiXK1C8BSqS4Kc8hRwF9yS9LGBwEQ', '5']",['7.14'],2010-07-13 04:41:18
66381,['19376GK1frhmJwSR8Hy9Z33u6zHDa8Vd18'],"['18Zt6x1BXtUj1mdabFj1eWURk3ioT4XCDm', '5', '1GnRx4kkD5MVhLbj4LR1yj9ARvridNYTCj', '215']",['220'],2010-07-13 04:41:18
66381,['16dPp5dtC16vDwwLRWcYN8cnPV2dDkKsLm'],"['13GNEacj1B5B6L37fTZm6BTSv2HE7nDDjr', '49']",['49'],2010-07-13 04:41:18
66387,['15hnPqa7nv8W4mubgtnPwaM7scSM25U2SL'],"['1AvthCtRQXgUpjDPtHezCnXifDmuSYKL9W', '5']",['5'],2010-07-13 04:47:30
66387,['16EgnR3MnwAoizip7PcJ7vukcj4ePwSMtm'],"['1CztTy7rUcjDDwcmA7rzuWv6RFogkvFufQ', '5']",['5'],2010-07-13 04:47:30
66387,['1MG76njyM3ieDwk2RHBqhUmaAB9je2Nrvd'],"['1N3RCkjSoBVmU1auCFB7iWB6xUn2SPahD1', '5']",['5'],2010-07-13 04:47:30
66393,"['1UN1beeJ6XqCRCVcCKG6o9Auq5B8WiRky', '158zuuJhnbdwk8GRQ7P1CvXbk1aCNADx9T', '1AhPfDfxPYx4xniymisabpd8fKqJZnfXLb', '1KtX89CyCPYzLLvVgZjTJsaZmT5YJ5YPoE', '1AQ3QRiiSS6LTddUaEje2yt7AHod8CYxgX', '1Q6c793W4XeyHETVrFc9DT2Hg3YdFVFBHm', '1KZLsnU4kFoTn3gzzLWDL7hJFb9kpykwEx', '1LKsYREquK4pofp4brNKdce1ebVjHcWjCz']","['1XPTgDRhN8RFnzniWCddobD9iKZatrvH4', '400']",['400'],2010-07-13 04:55:22
66393,['176kSekBoq5W64wgiAxi9nxzkaM6iuKLHm'],"['12iXYCvsv3w32GvoctZzGEqiPkp9dapmRa', '205', '1BoTeCcYj6SB2kcQBh2iTqwbiXwEXHYUSb', '5']",['210'],2010-07-13 04:55:22
66393,['1BXL8aAesB79N6s8NV3RidwbJXoPgZKUbh'],"['1MEuNbdcgojha2yv66DPfDeYdM2yNhF5LC', '50']",['50'],2010-07-13 04:55:22
66402,['1JSQJgfq6D28jFpNGmMwPjG5iP2Qf5wARa'],"['1P8jZeaiKSVdJ4p35VX8f2KMk9naBPWZbm', '50']",['50'],2010-07-13 05:16:21
66402,"['1BCbkwuSryjb7RsAe7HJEB1uUHDJy4HNvd', '16CKKa28a3B2fBJF9ZvXY5MTpzY41TmVrG']","['1KoUghamyJ2g5e61XQuh9Wv1fiUi5yJtEX', '10']",['10'],2010-07-13 05:16:21
66407,['1KuxTaf5Cav6geAWcahWMphHKHGKY45NgW'],"['1FUZHSWtpRU9Ux9R5xP1bM6kDcWrsnWx2V', '5', '1A3RX8M6K81gypxpAviLFnoCvwujSaDZG9', '4']",['9'],2010-07-13 05:26:56
66407,['1MMjNxe7awJtcxxFJq9tvxv4HgimqW7aMv'],"['18KiH4iBn5VjtiwGyjgAFsEBLn1A8qTauh', '5']",['5'],2010-07-13 05:26:56
66407,['1L2DGksWV23CDCC3sybrG8pFP4bXGyHZjv'],"['12uTVhowTf1mcko9kZt635XAQoxaT5ir33', '4', '1LKvCHbqsKqq1ZShar4Dfo37FdYXxFkZNq', '1']",['5'],2010-07-13 05:26:56
