block_date,daily_trans,daily_btc
2012-03-30,6586,968719.13961125
2012-03-31,6067,856295.67047119
2012-04-01,5391,608827.05624581
2012-04-02,6362,701699.38984391
2012-04-03,7679,825892.12910037
2012-04-04,6897,747957.62958345
2012-04-05,6960,952236.39638358
2012-04-06,6490,569571.42243225
2012-04-07,6026,357615.77464256
2012-04-08,5735,1245153.76042209
2012-04-09,6471,1657594.94006392
2012-04-10,8279,793615.8151392
2012-04-11,7828,1564606.09426187
2012-04-12,8068,1227441.48034259
2012-04-13,7221,851708.38936674
2012-04-14,7614,971199.42777815
2012-04-15,7312,1322855.0635063
2012-04-16,8370,1567936.35359146
2012-04-17,7825,1135480.44018777
2012-04-18,8350,1032194.15767573
2012-04-19,7692,681685.60676225
2012-04-20,8100,2862990.99191872
2012-04-21,7044,1209029.57243489
2012-04-22,6255,942012.39469503
2012-04-23,7043,793413.47495193
2012-04-24,7496,727279.41970576
2012-04-25,7415,1009806.68410949
2012-04-26,10003,1864864.98911217
2012-04-27,6980,1446819.0629047
2012-04-28,7311,886100.4843415
2012-04-29,7505,992710.73532079
2012-04-30,9224,1080058.44681686
2012-05-01,9972,1077850.6088726
2012-05-02,9897,1078053.66952388
2012-05-03,13998,1218625.0146762999
2012-05-04,13829,1114639.2653854
2012-05-05,12851,1200815.37015947
2012-05-06,10930,641918.99348148
2012-05-07,18324,2242546.92116168
2012-05-08,17467,3854959.99608814
2012-05-09,16889,2334043.81581646
2012-05-10,12641,1265679.36241973
2012-05-11,17893,1449876.82441432
2012-05-12,18322,3355497.11262172
2012-05-13,14563,1441090.65621346
2012-05-14,28177,2202064.08419169
2012-05-15,22930,3900704.8573709
2012-05-16,17107,3268172.45248169
2012-05-17,16818,3449102.02703592
2012-05-18,24722,1870819.28003857
2012-05-19,35263,1236402.09699957
2012-05-20,31113,2045996.82697081
2012-05-21,31362,3774380.04776219
2012-05-22,23782,4075142.62804834
2012-05-23,26872,1782654.3024768499
2012-05-24,26755,1125771.8085172
2012-05-25,29000,2554219.6228077
2012-05-26,22709,4696216.81582678
2012-05-27,26410,2063451.3533302
2012-05-28,29911,2177670.3463276
2012-05-29,29667,3105601.85968425
2012-05-30,25235,2337389.7946155
2012-05-31,20906,4830057.70074819
2012-06-01,26808,2926706.91543234
2012-06-02,12799,2010456.90520916
2012-06-03,34375,1856912.20074709
2012-06-04,45757,4589804.70789897
2012-06-05,43104,4395290.43671924
2012-06-06,16176,2517177.40508196
2012-06-07,33160,4822339.7639171295
2012-06-08,23987,5469418.64965388
2012-06-09,32471,1382493.27668433
